AAON,AAON Inc. Common Stock
AAPL,Apple Inc. Common Stock
ABCB,Ameris Bancorp Common Stock
ABCL,AbCellera Biologics Inc. Common Shares
ABCM,Abcam plc American Depositary Shares
ABNB,Airbnb Inc. Class A Common Stock
ACCD,Accolade Inc. Common Stock
ACGL,Arch Capital Group Ltd. Common Stock
ACIW,ACI Worldwide Inc. Common Stock
ACLS,Axcelis Technologies Inc. Common Stock
ACLX,Arcellx Inc. Common Stock
ACMR,ACM Research Inc. Class A Common Stock
ACRS,Aclaris Therapeutics Inc. Common Stock
ACT,Enact Holdings Inc. Common Stock
ACVA,ACV Auctions Inc. Class A Common Stock
ADBE,Adobe Inc. Common Stock
ADEA,Adeia Inc. Common Stock
ADI,Analog Devices Inc. Common Stock
ADMA,ADMA Biologics Inc Common Stock
ADSE,ADS-TEC ENERGY PLC Ordinary Shares
ADSK,Autodesk Inc. Common Stock
ADTN,ADTRAN Holdings Inc. Common Stock
ADUS,Addus HomeCare Corporation Common Stock
AEHR,Aehr Test Systems Common Stock
AFRI,Forafric Global PLC Ordinary Shares
AFYA,Afya Limited Class A Common Shares
AGEN,Agenus Inc. Common Stock
AGIO,Agios Pharmaceuticals Inc. Common Stock
AGNC,AGNC Investment Corp. Common Stock
AGYS,Agilysys Inc. Common Stock (DE)
AHCO,AdaptHealth Corp. Common Stock
AKAM,Akamai Technologies Inc. Common Stock
AKRO,Akero Therapeutics Inc. Common Stock
ALDX,Aldeyra Therapeutics Inc. Common Stock
ALEC,Alector Inc. Common Stock
ALGM,Allegro MicroSystems Inc. Common Stock
ALGN,Align Technology Inc. Common Stock
ALGT,Allegiant Travel Company Common Stock
ALHC,Alignment Healthcare Inc. Common Stock
ALKS,Alkermes plc Ordinary Shares
ALKT,Alkami Technology Inc. Common Stock
ALLO,Allogene Therapeutics Inc. Common Stock
ALRM,Alarm.com Holdings Inc. Common Stock
ALTI,AlTi Global Inc. Class A Common Stock
ALVO,Alvotech Ordinary Shares
ALVR,AlloVir Inc. Common Stock
AMAT,Applied Materials Inc. Common Stock
AMBA,Ambarella Inc. Ordinary Shares
AMCX,AMC Networks Inc. Class A Common Stock
AMRN,Amarin Corporation plc
AMSF,AMERISAFE Inc. Common Stock
AMZN,Amazon.com Inc. Common Stock
ANAB,AnaptysBio Inc. Common Stock
ANDE,Andersons Inc. (The) Common Stock
ANGI,Angi Inc. Class A Common Stock
ANGO,AngioDynamics Inc. Common Stock
ANIP,ANI Pharmaceuticals Inc.
ANSS,ANSYS Inc. Common Stock
APA,APA Corporation Common Stock
API,Agora Inc. American Depositary Shares
APLM,Apollomics Inc. Class A Ordinary Shares
APOG,Apogee Enterprises Inc. Common Stock
APPF,AppFolio Inc. Class A Common Stock
APPN,Appian Corporation Class A Common Stock
APPS,Digital Turbine Inc. Common Stock
ARCB,ArcBest Corporation Common Stock
ARCC,Ares Capital Corporation Common Stock
ARDX,Ardelyx Inc. Common Stock
ARGX,argenx SE American Depositary Shares
ARHS,Arhaus Inc. Class A Common Stock
ARKO,ARKO Corp. Common Stock
ARRY,Array Technologies Inc. Common Stock
ARVN,Arvinas Inc. Common Stock
ASLE,AerSale Corporation Common Stock
ASTE,Astec Industries Inc. Common Stock
ASTL,Algoma Steel Group Inc. Common Shares
ATEC,Alphatec Holdings Inc. Common Stock
ATEX,Anterix Inc. Common Stock
ATNI,ATN International Inc. Common Stock
ATRC,AtriCure Inc. Common Stock
ATRI,Atrion Corporation Common Stock
ATRO,Astronics Corporation Common Stock
ATSG,Air Transport Services Group Inc
ATVI,Activision Blizzard Inc. Common Stock
AUDC,AudioCodes Ltd. Common Stock
AURA,Aura Biosciences Inc. Common Stock
AVAV,AeroVironment Inc. Common Stock
AVDX,AvidXchange Holdings Inc. Common Stock
AVGO,Broadcom Inc. Common Stock
AVID,Avid Technology Inc. Common Stock
AVNW,Aviat Networks Inc. Common Stock
AVO,Mission Produce Inc. Common Stock
AVPT,AvePoint Inc. Class A Common Stock
AVT,Avnet Inc. Common Stock
AVTA,Avantax Inc. Common Stock
AVTE,Aerovate Therapeutics Inc. Common Stock
AVXL,Anavex Life Sciences Corp. Common Stock
AXNX,Axonics Inc. Common Stock
AXON,Axon Enterprise Inc. Common Stock
AXSM,Axsome Therapeutics Inc. Common Stock
